generation,index,cost,preference,penalty,rank,crowdingDistance,feasible,route
15,6,426.0,576.0,0.0,1,0.0,true,"City4(Day 2) -> City16(Day 3) -> City18(Day 5)"
15,7,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
15,8,484.0,625.0,0.0,1,0.0,true,"City4(Day 2) -> City22(Day 3) -> City18(Day 4)"
15,9,543.0,676.0,0.0,1,0.0,true,"City14(Day 1) -> City4(Day 4) -> City18(Day 5)"
15,10,234.0,169.0,0.0,1,0.0,true,"City16(Day 0) -> City24(Day 3)"
15,11,341.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City16(Day 3) -> City18(Day 4)"
15,12,346.0,441.0,0.0,1,0.0,true,"City16(Day 1) -> City24(Day 3) -> City18(Day 4)"
16,1,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
16,2,484.0,625.0,0.0,1,0.0,true,"City4(Day 2) -> City22(Day 3) -> City18(Day 4)"
16,3,543.0,676.0,0.0,1,0.0,true,"City14(Day 1) -> City4(Day 4) -> City18(Day 5)"
16,4,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
16,5,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
16,6,346.0,441.0,0.0,1,0.0,true,"City16(Day 1) -> City24(Day 3) -> City18(Day 4)"
16,7,341.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City16(Day 3) -> City18(Day 4)"
16,8,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
16,9,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
16,10,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
16,11,423.0,576.0,0.0,1,0.0,true,"City16(Day 0) -> City14(Day 1) -> City18(Day 4)"
16,12,234.0,169.0,0.0,1,0.0,true,"City16(Day 0) -> City24(Day 3)"
17,1,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
17,2,543.0,676.0,0.0,1,0.0,true,"City14(Day 1) -> City4(Day 4) -> City18(Day 5)"
17,3,234.0,169.0,0.0,1,0.0,true,"City16(Day 0) -> City24(Day 3)"
17,4,346.0,441.0,0.0,1,0.0,true,"City16(Day 1) -> City24(Day 3) -> City18(Day 4)"
17,5,423.0,576.0,0.0,1,0.0,true,"City16(Day 0) -> City14(Day 1) -> City18(Day 4)"
17,6,484.0,625.0,0.0,1,0.0,true,"City4(Day 2) -> City22(Day 3) -> City18(Day 4)"
17,7,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
17,8,341.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City16(Day 3) -> City18(Day 4)"
17,9,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
17,10,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
17,11,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
17,12,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
18,1,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
18,2,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
18,3,423.0,576.0,0.0,1,0.0,true,"City16(Day 0) -> City14(Day 1) -> City18(Day 4)"
18,4,484.0,625.0,0.0,1,0.0,true,"City4(Day 2) -> City22(Day 3) -> City18(Day 4)"
18,5,543.0,676.0,0.0,1,0.0,true,"City14(Day 1) -> City4(Day 4) -> City18(Day 5)"
18,6,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
18,7,341.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City16(Day 3) -> City18(Day 4)"
18,8,346.0,441.0,0.0,1,0.0,true,"City16(Day 1) -> City24(Day 3) -> City18(Day 4)"
18,9,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
18,10,234.0,169.0,0.0,1,0.0,true,"City16(Day 0) -> City24(Day 3)"
18,11,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
18,12,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
19,1,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
